nome_completo,descricao_curta,setor,subsetor,organizacao,localizacoes,latitude,longitude,endereco_principal,custo_estimado,moeda,custo_original,status_atividade,eh_ppp,tipo_projeto,arranjo_contratual,processo_licitacao,outro_arranjo_contratual,outro_processo_licitacao,GUID
Ilumina&#231;&#227;o P&#250;blica - Lageado (RS),A definir,Urban Services,Street Lighting,SEPPI,Lageado,,,Lageado,0.184949,BRL,0.184949 BRL,Project Definition,True,Refurbishment/Replacement,,,,,0132e2be-059a-41e0-b2f4-c1a822c0a5c1
BR-116/324/BA - Rota 2 de julho,"A BR-116/324/BA consiste na modernização e ampliação da capacidade do trecho rodoviário que conecta Salvador a Feira de Santana, Vitória da Conquista e outros polos regionais. O projeto visa melhorar a infraestrutura, garantindo maior fluidez e segurança para o tráfego de veículos e cargas, além de fortalecer a integração econômica entre as cidades envolvidas.",Transport,Highway,SEPPI,Salvador; Vitória da Conquista; Feira de Santana,"{'address': 'Salvador, Bahia', 'location': {'x': '-38.5058208', 'y': '-12.9641527'}, 'score': 100.0, 'attributes': {'ResultID': 1, 'Place_addr': 'Salvador, Bahia', 'City': 'Salvador', 'Subregion': '', 'Region': 'Bahia'}}","{'address': 'Vitória da Conquista, Bahia', 'location': {'x': '-40.8371991', 'y': '-14.8649658'}, 'score': 100.0, 'attributes': {'ResultID': 2, 'Place_addr': 'Vitória da Conquista, Bahia', 'City': 'Vitória da Conquista', 'Subregion': '', 'Region': 'Bahia'}}",Salvador,2605232000.0,BRL,2605232000.0 BRL,Project Definition,True,Refurbishment/Replacement,,,,,01fb8247-91ec-4631-bf1f-3da9fa6822d6
Apoio &#224; Visita&#231;&#227;o e &#224; Conserva&#231;&#227;o de &#225;rea de Fernando de Noronha/PE,"Parceria para prestação dos serviços públicos de apoio &#224; visitação, com previsão do custeio de aç&#245;es de apoio &#224; conservação, &#224; proteção e &#224; gestão das unidades da Área de Proteção Ambiental e do Parque Nacional Marinho da ilha de Fernando de Noronha/PE",Other,Other,SEPPI,Fernando de Noronha (Distrito Estadual),,,Fernando de Noronha (Distrito Estadual),0.181749,BRL,0.181749 BRL,Project Definition,True,New,,,,,022ea245-c8f4-440a-9a1b-2aa0e2f523fd
Canal de Acesso Aquaviário do Porto de Rio Grande/RS,A Definir,Transport,Seaport,SEPPI,Rio Grande do Sul,,,Rio Grande do Sul,0.0,BRL,,Project Definition,True,Refurbishment/Replacement,,,,,03175202-1983-4ce9-9425-f8271bf2e138
EF-277 - Estrada de Ferro Paraná Oeste - Ferroeste,"O Projeto do Corredor Oeste de Exportação &#8211; Nova Ferroeste, com extensão estimada de 1.567km",Transport,Intercity Rail,SEPPI,Paraná,,,Paraná,2552000000.0,BRL,2552000000.0 BRL,Project Definition,True,New,,,,,03476266-e9a1-4821-8179-8abd15903f7b
Ilumina&#231;&#227;o P&#250;blica - Barra dos Coqueiros (SE),A definir,Urban Services,Street Lighting,SEPPI,Barra dos Coqueiros,,,Barra dos Coqueiros,1788761.658,BRL,1788761.658 BRL,Project Definition,True,Refurbishment/Replacement,,,,,0765a015-3e73-4c7a-b823-368e074f9a41
Ilumina&#231;&#227;o P&#250;blica - Novo Hamburgo (RS),A definir,Urban Services,Street Lighting,SEPPI,Novo Hamburgo,,,Novo Hamburgo,9310604.064,BRL,9310604.064 BRL,Project Definition,True,Refurbishment/Replacement,,,,,0792a4e2-a8a8-465d-aa5c-f673d3bb7143
POA26 - Terminal de cargas multipropósito no Porto de Porto Alegre/RS,A Definir,Transport,Seaport,SEPPI,Rio Grande do Sul,,,Rio Grande do Sul,3719562.0,BRL,3719562.0 BRL,Project Definition,True,Refurbishment/Replacement,,,,,07fb13d8-0616-41f8-ab50-99c1c6669fd7
TGSFS-  Terminal de granel vegetal no Porto de São Francisco do Sul/SC,A Definir,Transport,Seaport,SEPPI,Santa Catarina,,,Santa Catarina,48910400.0,BRL,48910400.0 BRL,Project Definition,True,Refurbishment/Replacement,,,,,0a54a5c1-e5bc-442c-bec5-0d1b02e70852
RDJ06A - Terminal de granel líquido no Porto do Rio de Janeiro/RJ,"Dedicado &#224; movimentação e armazenagem de granel líquido, em acordo com o Plano de Desenvolvimento e Zoneamento - PDZ do Porto Organizado do Rio de Janeiro/RJ. O terminal possui uma área de 13.700 m&#178; e uma capacidade estática de 22.000 t.&#10;&#10;A área de arrendamento será utilizada para a exploração de empreendimento voltado ao apoio retro portuário &#224;s navegaç&#245;es de longo curso e cabotagem, com recebimento e entrega por via rodoviária e a armazenagem de granéis líquidos, especialmente óleos básicos.",Transport,Seaport,SEPPI,Rio de Janeiro,,,Rio de Janeiro,5280000.0,BRL,5280000.0 BRL,Project Definition,True,Refurbishment/Replacement,,,,,0d1dbb0e-ba78-45d3-87b0-2b27bf0708aa
